split_id,uptake_regime,baseline_policy,metric,adaptive_value,baseline_value,diff_adaptive_minus_baseline,direction
formal_mainline_low_seed0,low,mainline_no_menu,net_profit,-179089.691743,-194694.600000,15604.908257,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,operational_cost,179037.600000,194694.600000,-15657.000000,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,total_cost,180254.283718,194694.600000,-14440.316282,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,acceptance_rate,0.524669,0.524051,0.000618,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,served_rate,0.524669,0.524051,0.000618,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,optout_rate,0.475331,0.475949,-0.000618,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,home_share,0.474128,0.524051,-0.049923,baseline_better
formal_mainline_low_seed0,low,mainline_no_menu,meeting_point_uptake_rate,0.050542,0.000000,0.050542,adaptive_better
formal_mainline_low_seed0,low,mainline_no_menu,service_time_total,179037.600000,194694.600000,-15657.000000,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,net_profit,-179089.691743,-178911.964935,-177.726808,baseline_better
formal_mainline_low_seed0,low,mainline_fixed_menu,operational_cost,179037.600000,179070.600000,-33.000000,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,total_cost,180254.283718,180094.730959,159.552759,baseline_better
formal_mainline_low_seed0,low,mainline_fixed_menu,acceptance_rate,0.524669,0.514502,0.010167,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,served_rate,0.524669,0.514502,0.010167,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,optout_rate,0.475331,0.485498,-0.010167,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,home_share,0.474128,0.488020,-0.013893,baseline_better
formal_mainline_low_seed0,low,mainline_fixed_menu,meeting_point_uptake_rate,0.050542,0.026482,0.024060,adaptive_better
formal_mainline_low_seed0,low,mainline_fixed_menu,service_time_total,179037.600000,179070.600000,-33.000000,adaptive_better
