policy_tag,metric,n,mean,std_pop
mainline_no_menu,net_profit,5,-192582.600000,2586.661168
mainline_no_menu,operational_cost,5,192582.600000,2586.661168
mainline_no_menu,total_cost,5,192582.600000,2586.661168
mainline_no_menu,acceptance_rate,5,0.524051,0.000000
mainline_no_menu,served_rate,5,0.524051,0.000000
mainline_no_menu,optout_rate,5,0.475949,0.000000
mainline_no_menu,home_share,5,0.524051,0.000000
mainline_no_menu,meeting_point_uptake_rate,5,0.000000,0.000000
mainline_no_menu,service_time_total,5,192582.600000,2586.661168
mainline_fixed_menu,net_profit,5,-182538.276401,6423.221052
mainline_fixed_menu,operational_cost,5,182422.560000,6518.051860
mainline_fixed_menu,total_cost,5,183695.215856,6460.248460
mainline_fixed_menu,acceptance_rate,5,0.530541,0.017491
mainline_fixed_menu,served_rate,5,0.530541,0.017491
mainline_fixed_menu,optout_rate,5,0.469459,0.017491
mainline_fixed_menu,home_share,5,0.466322,0.026712
mainline_fixed_menu,meeting_point_uptake_rate,5,0.064219,0.028173
mainline_fixed_menu,service_time_total,5,182422.560000,6518.051860
mainline_random_menu,net_profit,5,-176651.519334,8123.630251
mainline_random_menu,operational_cost,5,176639.160000,8198.128385
mainline_random_menu,total_cost,5,177827.204072,8187.117872
mainline_random_menu,acceptance_rate,5,0.517462,0.025984
mainline_random_menu,served_rate,5,0.517462,0.025984
mainline_random_menu,optout_rate,5,0.482538,0.025984
mainline_random_menu,home_share,5,0.452100,0.010494
mainline_random_menu,meeting_point_uptake_rate,5,0.065362,0.031756
mainline_random_menu,service_time_total,5,176639.160000,8198.128385
mainline_optimized_m,net_profit,5,-190803.240000,2870.379446
mainline_optimized_m,operational_cost,5,190803.240000,2870.379446
mainline_optimized_m,total_cost,5,190803.240000,2870.379446
mainline_optimized_m,acceptance_rate,5,0.525000,0.010247
mainline_optimized_m,served_rate,5,0.525000,0.010247
mainline_optimized_m,optout_rate,5,0.475000,0.010247
mainline_optimized_m,home_share,5,0.482496,0.010693
mainline_optimized_m,meeting_point_uptake_rate,5,0.042504,0.010875
mainline_optimized_m,service_time_total,5,190803.240000,2870.379446
mainline_optimized_mw,net_profit,5,-184672.560000,8329.927572
mainline_optimized_mw,operational_cost,5,184672.560000,8329.927572
mainline_optimized_mw,total_cost,5,184672.560000,8329.927572
mainline_optimized_mw,acceptance_rate,5,0.512758,0.014443
mainline_optimized_mw,served_rate,5,0.512758,0.014443
mainline_optimized_mw,optout_rate,5,0.487242,0.014443
mainline_optimized_mw,home_share,5,0.494773,0.015021
mainline_optimized_mw,meeting_point_uptake_rate,5,0.017985,0.004153
mainline_optimized_mw,service_time_total,5,184672.560000,8329.927572
mainline_optimized_fixed_window,net_profit,5,-180581.747301,7356.443474
mainline_optimized_fixed_window,operational_cost,5,180306.360000,7467.095605
mainline_optimized_fixed_window,total_cost,5,181746.330274,7387.731641
mainline_optimized_fixed_window,acceptance_rate,5,0.555488,0.032794
mainline_optimized_fixed_window,served_rate,5,0.555488,0.032794
mainline_optimized_fixed_window,optout_rate,5,0.444512,0.032794
mainline_optimized_fixed_window,home_share,5,0.463208,0.015807
mainline_optimized_fixed_window,meeting_point_uptake_rate,5,0.092280,0.038870
mainline_optimized_fixed_window,service_time_total,5,180306.360000,7467.095605
mainline_optimized_adaptive,net_profit,5,-180581.747301,7356.443474
mainline_optimized_adaptive,operational_cost,5,180306.360000,7467.095605
mainline_optimized_adaptive,total_cost,5,181746.330274,7387.731641
mainline_optimized_adaptive,acceptance_rate,5,0.555488,0.032794
mainline_optimized_adaptive,served_rate,5,0.555488,0.032794
mainline_optimized_adaptive,optout_rate,5,0.444512,0.032794
mainline_optimized_adaptive,home_share,5,0.463208,0.015807
mainline_optimized_adaptive,meeting_point_uptake_rate,5,0.092280,0.038870
mainline_optimized_adaptive,service_time_total,5,180306.360000,7467.095605
