study,robustness_dimension,robustness_setting,method,seed,instance,K,L,demand_setting,outside_option_util,net_profit,adjusted_profit,service_constrained_net_profit,service_guardrail_pass,service_guardrail_violation,service_quit_rate_guardrail,quit_penalty_total,total_cost,quit_rate,opt_out_count,meeting_point_share,avg_walk,menu_regret,top_L_overlap,spearman_cost_ranking,runtime_per_decision,exact_enumerated_menu_count,service_constrained_fallback_rate,service_constrained_predicted_opt_out,service_constrained_adjusted_profit,train_episodes,test_episodes,candidate_pool_size,displayed_meeting_points,home_always_shown,status,notes
work2_menu_size_robustness,menu_size,3,CNN-Menu,0,RC,10,3,700,0.0,-5093.928740146001,,,,,,,5093.928740146001,0.34759358288770054,,,2285.133689839572,38.60688526829965,1.0,0.8342245989304813,0.033371379668699866,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,3,CNN-SetMenuNet,0,RC,10,3,700,0.0,-5197.413218037367,,,,,,,5197.413218037367,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.04036561308060101,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,2,Cost-L heuristic,0,RC,10,2,700,0.0,-5195.084403976296,,,,,,,5195.084403976296,0.3663101604278075,,,1955.2941176470588,17.22493497245713,1.0,0.0,0.03591778762837782,,,,,1,1,10,2,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,3,Cost-L heuristic,0,RC,10,3,700,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.032952406827141255,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,5,Cost-L heuristic,0,RC,10,5,700,0.0,-4870.975549893462,,,,,,,4870.975549893463,0.2914438502673797,,,2994.866310160428,22.418219841899894,0.7959001782531194,0.5636363636363637,0.03462897201272893,,,,,1,1,10,5,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,2,Oracle Menu,0,RC,10,2,700,0.0,-5194.258975711162,,,,,,,5194.258975711163,0.393048128342246,,,1638.609625668449,27.767259105872807,1.0,0.0,0.03729490226602809,,,,,1,1,10,2,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_menu_size_robustness,menu_size,3,Oracle Menu,0,RC,10,3,700,0.0,-5200.473218037367,,,,,,,5200.4732180373685,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.03840849616310813,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_candidate_pool_robustness,candidate_pool,10,CNN-Menu,0,RC,10,3,700,0.0,-5092.908740146,,,,,,,5092.908740146001,0.34759358288770054,,,2285.133689839572,38.60688526829965,1.0,0.8342245989304813,0.033272354360570244,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_candidate_pool_robustness,candidate_pool,10,CNN-SetMenuNet,0,RC,10,3,700,0.0,-5197.413218037367,,,,,,,5197.413218037367,0.37967914438502676,,,1662.673796791444,36.03550233672724,1.0,0.33288770053475936,0.03801906363849334,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
work2_candidate_pool_robustness,candidate_pool,10,Cost-L heuristic,0,RC,10,3,700,0.0,-5123.066509395834,,,,,,,5123.066509395834,0.35294117647058826,,,2066.951871657754,35.01333209901383,1.0,0.04144385026737968,0.03452198581899551,,,,,1,1,10,3,True,ok,"Phase 5 robustness row: K counts meeting-point candidates, L counts displayed meeting points, home is always shown, and evidence is classified conservatively."
