study_name,study_type,study_role,suite_name,suite_run_id,run_id,timestamp_utc,manifest_hash,code_version_marker,split_id,train_split,test_split,seed,trace_seed,variant_tag,variant_label,policy,menu_k,ablation_tag,is_reference,reference_tag,reference_policy,paired_reference_policy,paired_baseline_policy,checkpoint_path,checkpoint_reused,checkpoint_source,is_behavior_non_degenerate,episodes,served_customers,travel_time,travel_cost,service_cost,failure_cost,discount_cost,charge_revenue,total_cost,net_profit,home_pickup_count,average_menu_size,avg_meeting_point_count_per_menu,home_pickup_only_share,home_pickup_only_with_feasible_meeting_point_share,home_pickup_share,avg_walk_distance,avg_pickup_time_deviation,avg_in_vehicle_time,avg_chosen_predicted_cost,avg_chosen_price,avg_menu_build_time,avg_step_time,opt_out_rate,acceptance_rate,non_home_acceptance_rate,consumer_surplus,price_at_floor_fraction,price_at_ceil_fraction,mean_net_profit_gap_vs_reference,mean_total_cost_gap_vs_reference,net_profit_win_rate_vs_reference,net_profit_gap_ci95_half_width_vs_reference,mean_net_profit_gap_vs_baseline,mean_total_cost_gap_vs_baseline,net_profit_win_rate_vs_baseline,net_profit_gap_ci95_half_width_vs_baseline,avg_fn_pruning_rate,avg_eta_mae,avg_ivt_mae,avg_displayed_eta_mae,avg_displayed_ivt_mae,avg_displayed_eta_bias,avg_displayed_ivt_bias,exact_gap_logged_share,avg_exact_menu_value,avg_greedy_menu_value,avg_relative_optimality_gap,avg_menu_overlap_rate,avg_exact_build_time,avg_greedy_build_time,avg_exact_gap_candidate_count,split_count,split_ids,display_label
phase34_outside_option_scan_m10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T161207Z_888e0523,,888e0523848ea30423269d041d9018bfe3355c7c,nogit-9578488bc2bc,,,,,,strict_filter,strict-filter heuristic,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262400.0,2230.4000000000005,1464.6345749999998,747.3333333333333,16.5,0.0,4458.867908333334,-4458.867908333334,373.66666666666663,1.6432709447415332,0.643270944741533,0.45811051693404636,0.0,0.999108734402852,6.898395721925134,3042.6178595538013,4156.151120973821,40.01955640531607,-5.121901303366302,0.031638136764770106,0.034096886289310964,0.9926470588235294,0.007352941176470618,0.00089126559714795,-1.5,1.0,0.0,-1.717425625786821,1.717425625786821,0.5833333333333333,13.470120727488954,,,,,0.8747549019607844,127.68010763451457,93.15952956676483,2888.84486972547,2526.7974653247943,2888.84486972547,-2526.7974653247943,0.5418894830659537,0.05536237093998733,0.05536237093998733,0.0,1.0,0.0009000760627309071,0.0005091896954274931,2.309532255910078,2,"rc_0_to_1,rc_1_to_0",strict-filter heuristic
phase34_outside_option_scan_m10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T161207Z_888e0523,,888e0523848ea30423269d041d9018bfe3355c7c,nogit-9578488bc2bc,,,,,,no_filter,no-filter heuristic,menu_optimization,3,no_filter,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262400.0,2230.4,1465.653725,748.0,14.0,0.0,4458.053725,-4458.053725,374.0,2.3680926916221035,1.3680926916221035,0.0,0.0,1.0,0.0,3045.5677355642774,4159.488019369543,39.7908640020446,-5.119417587527803,0.03300366285640035,0.035452042724571975,0.9937611408199643,0.006238859180035675,0.0,-1.25,0.8333333333333334,0.0,-0.903242292453494,0.903242292453494,0.5,20.934538972842702,0.8141833333333276,-0.8141833333333276,0.5833333333333333,19.240770156096865,0.0,0.0,0.0,2766.6658642244893,2454.3398360354513,2766.6658642244893,-2454.3398360354513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",no-filter heuristic
phase34_outside_option_scan_m10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T161207Z_888e0523,,888e0523848ea30423269d041d9018bfe3355c7c,nogit-9578488bc2bc,,,,,,flat_markdown,flat markdown pricing,menu_optimization,3,flat_markdown,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262190.0,2228.6150000000002,1465.4021249999996,747.8333333333333,3.75,0.0,4445.600458333333,-4445.600458333333,373.91666666666663,1.5421122994652405,0.5421122994652408,0.45811051693404636,0.0,0.999777183600713,1.8449197860962567,3044.951374094846,4158.827591562056,39.79006172931733,-3.0,0.030878028364678484,0.03326564782868519,0.9966577540106951,0.003342245989304826,0.0002228163992869875,-0.625,0.0,0.0,11.550024374213157,-11.550024374213157,0.75,14.978912554860553,13.267449999999979,-13.267449999999979,0.8333333333333334,15.464906221055784,0.8747326203208556,63.840053817257285,46.579764783382416,2984.022747284256,2629.519382309465,2984.022747284256,-2629.519382309465,0.5418894830659537,0.018031941713762697,0.018031941713762697,0.0,1.0,0.0007196135503974514,0.00039099841161764376,2.309970852401306,2,"rc_0_to_1,rc_1_to_0",flat markdown pricing
phase34_outside_option_scan_m10,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T161207Z_888e0523,,888e0523848ea30423269d041d9018bfe3355c7c,nogit-9578488bc2bc,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262350.0,2229.9750000000004,1463.8597999999995,746.8333333333333,17.0,0.5176506257869544,4457.150482707546,-4457.150482707546,373.41666666666663,2.252673796791444,1.2526737967914439,0.45811051693404636,0.0,0.998440285204991,12.593582887700535,3041.8224579539137,4155.229997979168,39.7594632824787,-5.116016831791754,0.030056313212796552,0.0325579928523079,0.9919786096256684,0.008021390374331583,0.0015597147950089127,-1.1082718358883155,0.8125,0.08333333333333333,,,,,,,,,0.8747326203208556,456.9541969168931,352.98772257193923,2913.5320779061476,2550.712942677044,2913.5320779061476,-2550.712942677044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",full display
phase34_outside_option_scan_m05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T162850Z_a8d65921,,a8d659217335bb622b84d825e30838105311fedf,nogit-9578488bc2bc,,,,,,strict_filter,strict-filter heuristic,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262940.0,2234.9900000000002,1464.3829749999998,747.1666666666667,12.5,0.0,4459.039641666666,-4459.039641666666,373.58333333333337,1.6314616755793228,0.6314616755793226,0.46702317290552575,0.0,0.998885918003565,8.743315508021391,3041.8241368841664,4155.51929523744,40.01931660506442,-5.119465211993792,0.03087871813699679,0.03326286633171925,0.9944295900178253,0.00557040998217471,0.0011140819964349377,-1.25,0.8333333333333333,0.0,-6.789416666666814,6.789416666666814,0.25,19.977478360778562,,,,,0.8770276292335115,319.1124439239502,232.87543868646026,2860.607041214941,2489.8173977802494,2860.607041214941,-2489.8173977802494,0.5329768270944741,0.04672398833760417,0.04672398833760417,0.0,1.0,0.0008689588622068814,0.0004945793738224086,2.303973572390589,2,"rc_0_to_1,rc_1_to_0",strict-filter heuristic
phase34_outside_option_scan_m05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T162850Z_a8d65921,,a8d659217335bb622b84d825e30838105311fedf,nogit-9578488bc2bc,,,,,,no_filter,no-filter heuristic,menu_optimization,3,no_filter,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262590.0,2232.0150000000003,1465.653725,748.0,7.0,0.0,4452.6687249999995,-4452.6687249999995,374.0,2.3680926916221035,1.3680926916221035,0.0,0.0,1.0,0.0,3045.504446048902,4159.516621440649,39.7908640020446,-5.119506695760549,0.03263636662205676,0.03503941979637758,0.9968805704099821,0.0031194295900178375,0.0,-0.75,0.5,0.0,-0.41850000000007026,0.41850000000007026,0.41666666666666663,6.582729755810412,6.370916666666744,-6.370916666666744,0.5833333333333333,23.35255678548754,0.0,0.0,0.0,2731.51520799611,2409.9214949063617,2731.51520799611,-2409.9214949063617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",no-filter heuristic
phase34_outside_option_scan_m05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T162850Z_a8d65921,,a8d659217335bb622b84d825e30838105311fedf,nogit-9578488bc2bc,,,,,,flat_markdown,flat markdown pricing,menu_optimization,3,flat_markdown,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262240.0,2229.04,1465.4021249999996,747.8333333333333,2.75,0.0,4445.0254583333335,-4445.0254583333335,373.91666666666663,1.5334224598930482,0.5334224598930482,0.46680035650623886,0.0,0.999777183600713,1.8449197860962567,3044.915492760705,4158.856193633163,39.80215227665926,-3.0,0.03069470597165653,0.03305739483093833,0.9975490196078429,0.0024509803921568727,0.0002228163992869875,-0.375,0.0,0.0,7.224766666666635,-7.224766666666635,0.8333333333333334,8.540712870499304,14.014183333333449,-14.014183333333449,0.6666666666666666,15.729424543727516,0.8768716577540105,63.82248878479004,46.57508773729205,2948.612219990223,2583.212117369285,2948.612219990223,-2583.212117369285,0.5331996434937611,0.011096420991845185,0.011096420991845185,0.0,1.0,0.0007096453840311863,0.0003830508483819745,2.3060767235375303,2,"rc_0_to_1,rc_1_to_0",flat markdown pricing
phase34_outside_option_scan_m05,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T162850Z_a8d65921,,a8d659217335bb622b84d825e30838105311fedf,nogit-9578488bc2bc,,,,,,full_display,full display,offer_all_feasible_bundles,3,,True,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262220.0,2228.87,1464.8802249999997,747.5,11.0,0.0,4452.250225,-4452.250225,373.75,2.231283422459893,1.2312834224598932,0.46680035650623886,0.0,0.999331550802139,4.839572192513369,3044.4708078845106,4157.917690959366,39.84154825809996,-5.120095529184253,0.029705584982077843,0.03217607200039474,0.9950980392156863,0.004901960784313745,0.0006684491978609626,-1.375,0.9166666666666667,0.0,,,,,,,,,0.8768716577540105,64.40582211812337,46.57508773729205,2897.1160814517634,2534.224084521217,2897.1160814517634,-2534.224084521217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",full display
phase34_outside_option_scan_00,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T164517Z_a4925ab8,,a4925ab8197c3c05a31fca3a066e6338cbc9ac72,nogit-9578488bc2bc,,,,,,strict_filter,strict-filter heuristic,menu_optimization,3,baseline,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262510.0,2231.335,1464.8861749999996,747.5,8.5,0.0,4452.221175,-4452.221175,373.75,1.6432709447415332,0.643270944741533,0.45811051693404636,0.0,0.999331550802139,5.053475935828877,3043.201862565723,4156.810293172212,40.020322849166334,-5.1219011246281285,0.031015430971797327,0.03339755657309942,0.9962121212121211,0.003787878787878803,0.0006684491978609625,-1.25,0.8333333333333333,0.0,-2.7217333333333804,2.7217333333333804,0.25,9.488523822352064,,,,,0.8747326203208556,127.680234760046,93.15996453166008,2888.7062518421226,2526.7615149112335,2888.7062518421226,-2526.7615149112335,0.5418894830659537,0.05536247540028581,0.05536247540028581,0.0,1.0,0.0008787224975483497,0.0005083742927199158,2.3098930062708285,2,"rc_0_to_1,rc_1_to_0",strict-filter heuristic
phase34_outside_option_scan_00,ablation,support,phase34_outside_option_scan,20260514T161207Z_81aec3ec,20260514T164517Z_a4925ab8,,a4925ab8197c3c05a31fca3a066e6338cbc9ac72,nogit-9578488bc2bc,,,,,,no_filter,no-filter heuristic,menu_optimization,3,no_filter,False,full_display,offer_all_feasible_bundles,offer_all_feasible_bundles,menu_optimization,,,,False,6.0,374.0,262460.0,2230.91,1465.653725,748.0,5.5,0.0,4450.063725,-4450.063725,374.0,2.3680926916221035,1.3680926916221035,0.0,0.0,1.0,0.0,3045.5679566403355,4159.4867637604475,39.7908640020446,-5.119417406991314,0.03252698569490341,0.03492940911847215,0.9975490196078431,0.0024509803921568727,0.0,-0.75,0.5,0.0,-0.5642833333333782,0.5642833333333782,0.3333333333333333,6.987168029963517,2.1574500000000016,-2.1574500000000016,0.41666666666666663,12.379847223694577,0.0,0.0,0.0,2766.8242646878834,2454.824920342966,2766.8242646878834,-2454.824920342966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"rc_0_to_1,rc_1_to_0",no-filter heuristic
