acceptance_rate_mean,boundary_interpretation,center_value,checkpoint_statuses,claim_ready,completed_row_count,filter_modes,home_share_mean,meeting_point_uptake_rate_mean,menu_build_time_mean,menu_optout_guardrail,menu_utilization_mean,net_profit_delta_vs_center,net_profit_mean,operational_cost_mean,optout_rate_delta_vs_center,optout_rate_mean,paired_group_count,policy_tags,row_count,sensitivity_axis,sensitivity_value,service_quit_rate_guardrail,service_time_total_mean,source_run_dirs,source_run_ids,source_studies,status,summary_status,total_cost_mean,uptake_regimes
0.64,failure_or_lower_profit,3,loaded,False,5,interval_overlap,0.5599999999999999,0.08,0.0028320839907974007,0.35,0.02290635434687145,-211.56000000000017,-1315.3200000000002,1322.52,-0.040000000000000036,0.36,5,mainline_optimized_adaptive,5,menu_k,2,0.35,1322.52,work2_coding/outputs/studies/phase8_sensitivity_menu_k/phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k,completed,diagnostic_provisional_blocked,1327.3200000000002,low; medium
0.6,center_value,3,loaded,False,5,interval_overlap,0.52,0.08,0.0026788079552352425,0.35,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,menu_k,3,0.35,1112.16,work2_coding/outputs/studies/phase8_sensitivity_menu_k/phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k,completed,diagnostic_provisional_blocked,1115.76,low; medium
0.64,failure_or_lower_profit,3,loaded,False,5,interval_overlap,0.52,0.12000000000000002,0.00229128398001194,0.35,0.0018286067013089768,-217.13195636527666,-1320.8919563652767,1328.16,-0.040000000000000036,0.36,5,mainline_optimized_adaptive,5,menu_k,4,0.35,1328.16,work2_coding/outputs/studies/phase8_sensitivity_menu_k/phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k-20260615T160029Z-1dfd3737,phase8_sensitivity_menu_k,completed,diagnostic_provisional_blocked,1332.8919563652767,low; medium
0.6,potential_help,interval_overlap,loaded,False,5,interval_overlap,0.52,0.08,0.0027719879988580944,0.35,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,eta_filter_mode,chance_constraint,0.35,1112.16,work2_coding/outputs/studies/phase8_sensitivity_eta_filter/phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter,completed,diagnostic_provisional_blocked,1115.76,low; medium
0.6,potential_help,interval_overlap,loaded,False,5,interval_overlap,0.52,0.08,0.0028314960002899167,0.35,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,eta_filter_mode,hard,0.35,1112.16,work2_coding/outputs/studies/phase8_sensitivity_eta_filter/phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter,completed,diagnostic_provisional_blocked,1115.76,low; medium
0.6,center_value,interval_overlap,loaded,False,5,interval_overlap,0.52,0.08,0.003241579988971353,0.35,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,eta_filter_mode,interval_overlap,0.35,1112.16,work2_coding/outputs/studies/phase8_sensitivity_eta_filter/phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter-20260615T160033Z-a1a3724c,phase8_sensitivity_eta_filter,completed,diagnostic_provisional_blocked,1115.76,low; medium
0.6,failure_or_lower_profit,medium,loaded,False,5,interval_overlap,0.6,0.0,0.0034063039999455216,0.35,0.003350230861220593,-353.39999999999986,-1339.36,1352.1599999999999,0.0,0.4,5,mainline_optimized_adaptive,5,uptake_regime,low,0.35,1352.1599999999999,work2_coding/outputs/studies/phase8_sensitivity_uptake_regime/phase8_sensitivity_uptake_regime-20260615T160035Z-663b4ce0,phase8_sensitivity_uptake_regime-20260615T160035Z-663b4ce0,phase8_sensitivity_uptake_regime,completed,diagnostic_provisional_blocked,1353.36,low
0.6,center_value,medium,loaded,False,5,interval_overlap,0.48,0.12000000000000002,0.002999839968979359,0.35,0.00397270540557364,0.0,-985.96,992.1600000000001,0.0,0.4,5,mainline_optimized_adaptive,5,uptake_regime,medium,0.35,992.1600000000001,work2_coding/outputs/studies/phase8_sensitivity_uptake_regime/phase8_sensitivity_uptake_regime-20260615T160035Z-663b4ce0,phase8_sensitivity_uptake_regime-20260615T160035Z-663b4ce0,phase8_sensitivity_uptake_regime,completed,diagnostic_provisional_blocked,996.96,medium
0.6,center_value,0.35,loaded,False,5,interval_overlap,0.52,0.08,0.0034201919846236703,0.35,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,guardrail,0.35,0.35,1112.16,work2_coding/outputs/studies/phase8_sensitivity_guardrail/phase8_sensitivity_guardrail-20260615T160036Z-9276956f,phase8_sensitivity_guardrail-20260615T160036Z-9276956f,phase8_sensitivity_guardrail,completed,diagnostic_provisional_blocked,1115.76,low; medium
0.6,potential_help,0.35,loaded,False,5,interval_overlap,0.52,0.08,0.003256740001961589,0.4,0.003653940970786729,0.0,-1103.76,1112.16,0.0,0.4,5,mainline_optimized_adaptive,5,guardrail,0.40,0.4,1112.16,work2_coding/outputs/studies/phase8_sensitivity_guardrail/phase8_sensitivity_guardrail-20260615T160036Z-9276956f,phase8_sensitivity_guardrail-20260615T160036Z-9276956f,phase8_sensitivity_guardrail,completed,diagnostic_provisional_blocked,1115.76,low; medium
